,major_genre,title,subgenre,seasons,episodes,viewer_score,rating,company_name,release_data
62,Action and Adventure,Grimm,Action and Adventure|Drama~Mystery|Horror and Suspense|Family,1,5,92,TV-14,NBC,2011
63,Drama,This Is Us,Drama|Comedy~Romantic Comedy,1,18,96,TV-14,NBC,2016
64,Docu-Series,MasterChef,Docu-Series~Cooking Competitions|Reality |Health and Wellness|Family,1,10,84,TV-14,FOX,2010
65,Family Live Action,The Thundermans,Family Animation|Teen,3,69,80,TV-G,Nickelodeon,2013
66,Action and Adventure,Vikings,Action and Adventure~Military and War,4,49,96,TV-14,History,2013
67,Drama,Pretty Little Liars,Drama|Teen,1,5,90,TV-14,Freeform,2010
68,Reality ,Jersey Shore,Reality ~Real Life Drama|Teen,6,74,72,TV-14,MTV,2009
69,Drama,General Hospital,Drama~Soap Operas|Drama~Medical Drama,1,10,76,TV-14,ABC,1963
70,Drama,Blindspot,Drama~Crime and Courtroom Drama|Drama~Mystery,2,45,90,TV-14,NBC,2015
71,Comedy,Happy Endings,Comedy,3,57,87,TV-14,Sony Pictures Television,2011
72,Reality ,Catfish: The TV Show,Reality ~Real Life Drama|Teen,5,77,84,TV-14,MTV,2012
73,Talk Show,Jimmy Kimmel Live,Talk Show~Talk and Interview|Comedy~Late Night Comedy,1,16,66,TV-14,ABC,2003
74,Animation,The Cleveland Show,Animation~Primetime Animation|Comedy~Sitcoms,4,88,72,TV-14,FOX,2009
75,Docu-Series,Project Runway,Health and Wellness|Reality ~Competition|Lifestyle~Fashion and Beauty|Teen|Family,6,88,78,TV-PG,Lifetime,2004
76,Reality ,Survivor,Teen|Reality ~Competition|Family,21,319,80,TV-14,CBS,2000
77,Drama,Homeland,Drama,6,72,94,TV-MA,SHOWTIME,2011
78,Comedy,Awkward.,Comedy|Teen,5,89,90,TV-14,MTV,2011
79,Comedy,Fresh off the Boat,Comedy~Sitcoms|Family,3,60,88,TV-PG,ABC,2015
80,Comedy,Last Man Standing,Comedy|Family,1,22,88,TV-PG,ABC,2011
81,Reality ,Dancing With the Stars,Reality ~Competition|Family,0,0,65,TV-PG,ABC,2005
82,Comedy,Reba,Comedy|Family,4,90,82,TV-PG,Fox Television Classics,2001
83,Reality ,The Bachelorette,Reality ,1,5,62,TV-14,ABC,2003
84,Reality ,The Bachelor,Reality ,0,0,59,TV-14,ABC,2002
85,Comedy,The Middle,Comedy|Family|Teen,1,5,85,TV-PG,ABC,2009
86,Comedy,Superstore,Comedy~Sitcoms|Family,1,22,89,TV-14,NBC,2015
87,Drama,Sleepy Hollow,Drama,4,62,91,TV-14,FOX,2013
88,Drama,Chicago Fire,Drama,1,5,93,TV-14,NBC,2012
89,Drama,Private Practice,Drama~Medical Drama|Health and Wellness,6,111,85,TV-14,ABC,2007
